director_name,genres,actor_1_name,actor_2_name,actor_3_name,movie_title,combo
Kimberly Peirce,Drama Fantasy Horror,Chloë Grace Moretz,Judy Greer,Portia Doubleday,carrie,Kimberly Peirce Chloë Grace Moretz Judy Greer Portia Doubleday Drama Fantasy Horror
Remo,Drama Musical,Lauren Gottlieb,Remo,Prabhudheva,abcd (any body can dance),Remo Lauren Gottlieb Remo Prabhudheva Drama Musical
Wes Craven,Horror,Johnny Depp,Lin Shaye,Amanda Wyss,a nightmare on elm street,Wes Craven Johnny Depp Lin Shaye Amanda Wyss Horror
James Marsh,Biography Crime Documentary History Thriller,Paul McGill,Philippe Petit,Jean-Louis Blondeau,man on wire,James Marsh Paul McGill Philippe Petit Jean-Louis Blondeau Biography Crime Documentary History Thriller
John Laing,Drama,Siobhan Marshall,Peter Feeney,Rachel Nash,abandoned,John Laing Siobhan Marshall Peter Feeney Rachel Nash Drama
Jamal Hill,Drama,Logan Browning,Adam Ratcliffe,Faizon Love,brotherly love,Jamal Hill Logan Browning Adam Ratcliffe Faizon Love Drama
Daniel Stamm,Drama Horror Thriller,Caleb Landry Jones,Ashley Bell,Patrick Fabian,the last exorcism,Daniel Stamm Caleb Landry Jones Ashley Bell Patrick Fabian Drama Horror Thriller
Sam Taylor-Johnson,Biography Drama Music,Kristin Scott Thomas,Ophelia Lovibond,Anne-Marie Duff,nowhere boy,Sam Taylor-Johnson Kristin Scott Thomas Ophelia Lovibond Anne-Marie Duff Biography Drama Music
Elia Kazan,Drama,Marlon Brando,Karl Malden,Kim Hunter,a streetcar named desire,Elia Kazan Marlon Brando Karl Malden Kim Hunter Drama
Stanley Kubrick,Comedy,George C. Scott,Slim Pickens,Keenan Wynn,dr. strangelove or: how i learned to stop worrying and love the bomb,Stanley Kubrick George C. Scott Slim Pickens Keenan Wynn Comedy
Carlos Carrera,Drama Romance,Damián Alcázar,Ana Claudia Talancón,Pedro Armendáriz Jr.,el crimen del padre amaro,Carlos Carrera Damián Alcázar Ana Claudia Talancón Pedro Armendáriz Jr. Drama Romance
Benh Zeitlin,Drama Fantasy,Quvenzhané Wallis,Gina Montana,Dwight Henry,beasts of the southern wild,Benh Zeitlin Quvenzhané Wallis Gina Montana Dwight Henry Drama Fantasy
J. Lee Thompson,Action Sci-Fi,Roddy McDowall,Paul Williams,Claude Akins,battle for the planet of the apes,J. Lee Thompson Roddy McDowall Paul Williams Claude Akins Action Sci-Fi
Maggie Greenwald,Drama Music,Aidan Quinn,David Patrick Kelly,Jane Adams,songcatcher,Maggie Greenwald Aidan Quinn David Patrick Kelly Jane Adams Drama Music
Vera Farmiga,Drama,Donna Murphy,Bill Irwin,Michael Chernus,higher ground,Vera Farmiga Donna Murphy Bill Irwin Michael Chernus Drama
Vijay Chandar,Comedy Romance,Hansika Motwani,T.R. Silambarasan,Brahmanandam,vaalu,Vijay Chandar Hansika Motwani T.R. Silambarasan Brahmanandam Comedy Romance
Morgan Spurlock,Comedy Documentary,Quentin Tarantino,J.J. Abrams,Donald Trump,the greatest movie ever sold,Morgan Spurlock Quentin Tarantino J.J. Abrams Donald Trump Comedy Documentary
Jonathan Wacks,Comedy Horror,Steve Buscemi,Gary Farmer,Jon Gries,ed and his dead mother,Jonathan Wacks Steve Buscemi Gary Farmer Jon Gries Comedy Horror
Khyentse Norbu,Adventure Drama,Tshewang Dendup,Lhakpa Dorji,Sonam Kinga,travelers and magicians,Khyentse Norbu Tshewang Dendup Lhakpa Dorji Sonam Kinga Adventure Drama
Ted Post,Western,Clint Eastwood,Bruce Dern,Alan Hale Jr.,hang 'em high,Ted Post Clint Eastwood Bruce Dern Alan Hale Jr. Western
Richard Brooks,Crime Drama Film-Noir,Humphrey Bogart,Jim Backus,Kim Hunter,deadline - u.s.a.,Richard Brooks Humphrey Bogart Jim Backus Kim Hunter Crime Drama Film-Noir
Tony Krantz,Horror Thriller,George Newbern,Tom Cavanagh,Cas Anvar,sublime,Tony Krantz George Newbern Tom Cavanagh Cas Anvar Horror Thriller
Mitchell Altieri,Comedy Horror Thriller,Kimberley Crossman,Luke Edwards,Bree Williamson,a beginner's guide to snuff,Mitchell Altieri Kimberley Crossman Luke Edwards Bree Williamson Comedy Horror Thriller
W.D. Hogan,Action Sci-Fi,Tom Everett Scott,Keenan Tracey,Nicholas Carella,independence daysaster,W.D. Hogan Tom Everett Scott Keenan Tracey Nicholas Carella Action Sci-Fi
Corey Grant,Comedy Drama,Christian Keyes,Essence Atkins,Tatyana Ali,dysfunctional friends,Corey Grant Christian Keyes Essence Atkins Tatyana Ali Comedy Drama
Tom Tykwer,Crime Drama,Moritz Bleibtreu,Ludger Pistor,Armin Rohde,run lola run,Tom Tykwer Moritz Bleibtreu Ludger Pistor Armin Rohde Crime Drama
Lucky McKee,Drama Horror,James Duval,Will Estes,Nora Zehetner,may,Lucky McKee James Duval Will Estes Nora Zehetner Drama Horror
Richard Boddington,Adventure Family,Natasha Henstridge,CJ Adams,Erin Pitt,against the wild,Richard Boddington Natasha Henstridge CJ Adams Erin Pitt Adventure Family
David Hunt,Horror,Matthew Alan,Chris Cleveland,Circus-Szalewski,living dark: the story of ted the caver,David Hunt Matthew Alan Chris Cleveland Circus-Szalewski Horror
Patricia Riggen,Adventure Drama,America Ferrera,Eugenio Derbez,Kate del Castillo,under the same moon,Patricia Riggen America Ferrera Eugenio Derbez Kate del Castillo Adventure Drama
J. Lee Thompson,Action Sci-Fi,Roddy McDowall,Gordon Jump,John Randolph,conquest of the planet of the apes,J. Lee Thompson Roddy McDowall Gordon Jump John Randolph Action Sci-Fi
Todd Field,Crime Drama,Tom Wilkinson,Sissy Spacek,Karen Allen,in the bedroom,Todd Field Tom Wilkinson Sissy Spacek Karen Allen Crime Drama
Steven R. Monroe,Horror Thriller,Sarah Butler,Chad Lindberg,Daniel Franzese,i spit on your grave,Steven R. Monroe Sarah Butler Chad Lindberg Daniel Franzese Horror Thriller
Mark Illsley,Comedy Crime Romance,Ally Walker,Illeana Douglas,Jeremy Northam,"happy, texas",Mark Illsley Ally Walker Illeana Douglas Jeremy Northam Comedy Crime Romance
Pawel Pawlikowski,Drama Romance,Paddy Considine,Natalie Press,Dean Andrews,my summer of love,Pawel Pawlikowski Paddy Considine Natalie Press Dean Andrews Drama Romance
Ritesh Batra,Drama Romance,Nawazuddin Siddiqui,Nimrat Kaur,Lillete Dubey,the lunchbox,Ritesh Batra Nawazuddin Siddiqui Nimrat Kaur Lillete Dubey Drama Romance
Sally Potter,Drama Romance,Shirley Henderson,Joan Allen,Stephanie Leonidas,yes,Sally Potter Shirley Henderson Joan Allen Stephanie Leonidas Drama Romance
Frank Capra,Comedy Drama Romance,Jean Arthur,Ann Miller,Lionel Barrymore,you can't take it with you,Frank Capra Jean Arthur Ann Miller Lionel Barrymore Comedy Drama Romance
Fred Zinnemann,Drama Romance War,Montgomery Clift,Donna Reed,Deborah Kerr,from here to eternity,Fred Zinnemann Montgomery Clift Donna Reed Deborah Kerr Drama Romance War
John Ford,Western,Harry Carey Jr.,Ben Johnson,Victor McLaglen,she wore a yellow ribbon,John Ford Harry Carey Jr. Ben Johnson Victor McLaglen Western
Brad J. Silverman,Drama Music,Shawnee Smith,Michael Welch,Anthony Reynolds,grace unplugged,Brad J. Silverman Shawnee Smith Michael Welch Anthony Reynolds Drama Music
Dave Meyers,Comedy Drama,Eddie Griffin,Clifton Powell,Marla Gibbs,foolish,Dave Meyers Eddie Griffin Clifton Powell Marla Gibbs Comedy Drama
David M. Matthews,Crime Drama Thriller,Essence Atkins,Lamman Rucker,Tempestt Bledsoe,n-secure,David M. Matthews Essence Atkins Lamman Rucker Tempestt Bledsoe Crime Drama Thriller
Nadine Labaki,Comedy Drama Romance,Yasmine Al Massri,Adel Karam,Nadine Labaki,caramel,Nadine Labaki Yasmine Al Massri Adel Karam Nadine Labaki Comedy Drama Romance
Lluís Quílez,Horror Thriller,Stephen Rea,Pixie Davies,Alejandro Furth,out of the dark,Lluís Quílez Stephen Rea Pixie Davies Alejandro Furth Horror Thriller
Eytan Fox,Comedy Drama Romance,Ohad Knoller,Lior Ashkenazi,Yousef 'Joe' Sweid,the bubble,Eytan Fox Ohad Knoller Lior Ashkenazi Yousef 'Joe' Sweid Comedy Drama Romance
Francis Ford Coppola,Drama Mystery Thriller,Harrison Ford,Teri Garr,Cindy Williams,the conversation,Francis Ford Coppola Harrison Ford Teri Garr Cindy Williams Drama Mystery Thriller
Romesh Sharma,Romance,Annabelle Wallis,Revathy,Bhoomika Chawla,dil jo bhi kahey...,Romesh Sharma Annabelle Wallis Revathy Bhoomika Chawla Romance
François Truffaut,Crime Drama Romance,Catherine Deneuve,Jean-Paul Belmondo,Michel Bouquet,mississippi mermaid,François Truffaut Catherine Deneuve Jean-Paul Belmondo Michel Bouquet Crime Drama Romance
Adam Goldberg,Drama Mystery,Judy Greer,Marisa Coughlan,Nicky Katt,i love your work,Adam Goldberg Judy Greer Marisa Coughlan Nicky Katt Drama Mystery
Travis Zariwny,Horror,Dustin Ingram,Gage Golightly,Samuel Davis,cabin fever,Travis Zariwny Dustin Ingram Gage Golightly Samuel Davis Horror
Zack Snyder,Action Horror Thriller,Ty Burrell,Kevin Zegers,Mekhi Phifer,dawn of the dead,Zack Snyder Ty Burrell Kevin Zegers Mekhi Phifer Action Horror Thriller
Adrienne Shelly,Comedy Drama Romance,Lew Temple,Cheryl Hines,Eddie Jemison,waitress,Adrienne Shelly Lew Temple Cheryl Hines Eddie Jemison Comedy Drama Romance
Newt Arnold,Action Biography Drama Sport,Bolo Yeung,Donald Gibb,Ken Siu,bloodsport,Newt Arnold Bolo Yeung Donald Gibb Ken Siu Action Biography Drama Sport
Frank Capra,Comedy Drama,Claude Rains,Jean Arthur,Thomas Mitchell,mr. smith goes to washington,Frank Capra Claude Rains Jean Arthur Thomas Mitchell Comedy Drama
Larry Clark,Drama,Rosario Dawson,Leo Fitzpatrick,Justin Pierce,kids,Larry Clark Rosario Dawson Leo Fitzpatrick Justin Pierce Drama
Noah Baumbach,Comedy Drama,William Baldwin,Elizabeth Meriwether,Owen Kline,the squid and the whale,Noah Baumbach William Baldwin Elizabeth Meriwether Owen Kline Comedy Drama
Charles Herman-Wurmfeld,Comedy Drama Romance,Scott Cohen,Jennifer Westfeldt,Brian Stepanek,kissing jessica stein,Charles Herman-Wurmfeld Scott Cohen Jennifer Westfeldt Brian Stepanek Comedy Drama Romance
Yimou Zhang,Comedy Drama,Honglei Sun,Ni Yan,Dahong Ni,"a woman, a gun and a noodle shop",Yimou Zhang Honglei Sun Ni Yan Dahong Ni Comedy Drama
John Stockwell,Action,Matthew Ziff,T.J. Storm,Sam Medina,kickboxer: vengeance,John Stockwell Matthew Ziff T.J. Storm Sam Medina Action
Alfred Hitchcock,Film-Noir Mystery Romance Thriller,Norman Lloyd,Rhonda Fleming,Leo G. Carroll,spellbound,Alfred Hitchcock Norman Lloyd Rhonda Fleming Leo G. Carroll Film-Noir Mystery Romance Thriller
Atom Egoyan,Drama Mystery Romance,Bruce Greenwood,Mia Kirshner,Sarah Polley,exotica,Atom Egoyan Bruce Greenwood Mia Kirshner Sarah Polley Drama Mystery Romance
Vincent Gallo,Comedy Crime Drama Romance,Anjelica Huston,Vincent Gallo,Jan-Michael Vincent,buffalo '66,Vincent Gallo Anjelica Huston Vincent Gallo Jan-Michael Vincent Comedy Crime Drama Romance
James Wan,Fantasy Horror Mystery Thriller,Lin Shaye,Barbara Hershey,Philip Friedman,insidious,James Wan Lin Shaye Barbara Hershey Philip Friedman Fantasy Horror Mystery Thriller
Alex Cox,Comedy Crime Sci-Fi Thriller,Del Zamora,Tracey Walter,Miguel Sandoval,repo man,Alex Cox Del Zamora Tracey Walter Miguel Sandoval Comedy Crime Sci-Fi Thriller
Fabián Bielinsky,Crime Drama Thriller,Ricardo Darín,Gastón Pauls,Leticia Brédice,nine queens,Fabián Bielinsky Ricardo Darín Gastón Pauls Leticia Brédice Crime Drama Thriller
Dror Moreh,Documentary War,Ami Ayalon,Yuval Diskin,Yaakov Peri,the gatekeepers,Dror Moreh Ami Ayalon Yuval Diskin Yaakov Peri Documentary War
Rebecca Miller,Drama,Beau Bridges,Susanna Thompson,Ryan McDonald,the ballad of jack and rose,Rebecca Miller Beau Bridges Susanna Thompson Ryan McDonald Drama
Maggie Carey,Comedy Romance,Donald Glover,Alia Shawkat,Scott Porter,the to do list,Maggie Carey Donald Glover Alia Shawkat Scott Porter Comedy Romance
Roger Avary,Crime Drama Thriller,Eric Stoltz,Salvator Xuereb,Jean-Hugues Anglade,killing zoe,Roger Avary Eric Stoltz Salvator Xuereb Jean-Hugues Anglade Crime Drama Thriller
Henry Bean,Drama,Ryan Gosling,Theresa Russell,Summer Phoenix,the believer,Henry Bean Ryan Gosling Theresa Russell Summer Phoenix Drama
David Gordon Green,Drama Romance,Michael Angarano,Connor Paolo,Tom Noonan,snow angels,David Gordon Green Michael Angarano Connor Paolo Tom Noonan Drama Romance
Simeon Rice,Action Horror Thriller,Ward G. Smith,Lisa Brave,Malone Thomas,unsullied,Simeon Rice Ward G. Smith Lisa Brave Malone Thomas Action Horror Thriller
Brad Anderson,Horror Mystery,Paul Guilfoyle,Brendan Sexton III,Larry Fessenden,session 9,Brad Anderson Paul Guilfoyle Brendan Sexton III Larry Fessenden Horror Mystery
Jeff Garlin,Comedy Romance,Jessy Schram,Jeff Garlin,Joey Slotnick,i want someone to eat cheese with,Jeff Garlin Jessy Schram Jeff Garlin Joey Slotnick Comedy Romance
Qasim Basir,Drama Family,Dorian Missick,Nia Long,Evan Ross,mooz-lum,Qasim Basir Dorian Missick Nia Long Evan Ross Drama Family
Adam Green,Comedy Horror,Joel David Moore,Kane Hodder,Joel Murray,hatchet,Adam Green Joel David Moore Kane Hodder Joel Murray Comedy Horror
Charles Chaplin,Comedy Drama Family,Paulette Goddard,Stanley Blystone,Fred Malatesta,modern times,Charles Chaplin Paulette Goddard Stanley Blystone Fred Malatesta Comedy Drama Family
Pete Jones,Drama,Brian Dennehy,Aidan Quinn,Bonnie Hunt,stolen summer,Pete Jones Brian Dennehy Aidan Quinn Bonnie Hunt Drama
Bruce Campbell,Comedy Fantasy,Ted Raimi,Dan Hicks,Timothy Patrick Quill,my name is bruce,Bruce Campbell Ted Raimi Dan Hicks Timothy Patrick Quill Comedy Fantasy
Mark Brown,Comedy Drama,Vivica A. Fox,Monica Calhoun,Garrett Morris,the salon,Mark Brown Vivica A. Fox Monica Calhoun Garrett Morris Comedy Drama
Adam Carolla,Comedy,Jay Mohr,Jim O'Heir,David Alan Grier,road hard,Adam Carolla Jay Mohr Jim O'Heir David Alan Grier Comedy
Ira Sachs,Drama Music Romance,Rip Torn,Jenny O'Hara,Darren E. Burrows,forty shades of blue,Ira Sachs Rip Torn Jenny O'Hara Darren E. Burrows Drama Music Romance
John Sayles,Drama War,Brian Lee Franklin,John Arcilla,Ronnie Lazaro,amigo,John Sayles Brian Lee Franklin John Arcilla Ronnie Lazaro Drama War
Bruce McDonald,Fantasy Horror,Stephen McHattie,Georgina Reilly,Boyd Banks,pontypool,Bruce McDonald Stephen McHattie Georgina Reilly Boyd Banks Fantasy Horror
James Mottern,Drama,Jimmy Bennett,Joey Lauren Adams,Matthew Lawrence,trucker,James Mottern Jimmy Bennett Joey Lauren Adams Matthew Lawrence Drama
Jaime Zevallos,Comedy Drama Romance,Angela Sarafyan,Jaime Zevallos,Michael Elian,me you and five bucks,Jaime Zevallos Angela Sarafyan Jaime Zevallos Michael Elian Comedy Drama Romance
Rob Zombie,Drama Fantasy Horror Thriller,Sid Haig,Dee Wallace,Michael Berryman,the lords of salem,Rob Zombie Sid Haig Dee Wallace Michael Berryman Drama Fantasy Horror Thriller
Gerard Johnstone,Comedy Horror Mystery,Morgana O'Reilly,Bruce Hopkins,Cameron Rhodes,housebound,Gerard Johnstone Morgana O'Reilly Bruce Hopkins Cameron Rhodes Comedy Horror Mystery
Robert Greenwald,Documentary,Lee Scott,Jon Hunter,Matt Hunter,wal-mart: the high cost of low price,Robert Greenwald Lee Scott Jon Hunter Matt Hunter Documentary
David Ray,Drama Fantasy Romance,Nicole Muñoz,Sarah Lind,Kyla Wise,fetching cody,David Ray Nicole Muñoz Sarah Lind Kyla Wise Drama Fantasy Romance
Dave Rodriguez,Comedy Drama,Chazz Palminteri,Michael Rapaport,Paul Sorvino,once upon a time in queens,Dave Rodriguez Chazz Palminteri Michael Rapaport Paul Sorvino Comedy Drama
Nae Caranfil,Comedy Drama,Monica Barladeanu,Joe Armstrong,Martin Hancock,closer to the moon,Nae Caranfil Monica Barladeanu Joe Armstrong Martin Hancock Comedy Drama
David Winning,Sci-Fi,Ashanti,Amber Marshall,John DeSantis,mutant world,David Winning Ashanti Amber Marshall John DeSantis Sci-Fi
Frank Lotito,Comedy Drama Family,Brighton Sharbino,Jake Busey,Tim Guinee,growing up smith,Frank Lotito Brighton Sharbino Jake Busey Tim Guinee Comedy Drama Family
Timothy Woodward Jr.,Action Crime Thriller,Katrina Law,Johnny Messner,Michael Paré,checkmate,Timothy Woodward Jr. Katrina Law Johnny Messner Michael Paré Action Crime Thriller
Christopher McQuarrie,Action Crime Mystery Thriller,Tom Cruise,Robert Duvall,David Oyelowo,jack reacher,Christopher McQuarrie Tom Cruise Robert Duvall David Oyelowo Action Crime Mystery Thriller
Tara Subkoff,Drama Horror Mystery Thriller,Timothy Hutton,Balthazar Getty,Lydia Hearst,#horror,Tara Subkoff Timothy Hutton Balthazar Getty Lydia Hearst Drama Horror Mystery Thriller
Russell Friedenberg,Action Horror Thriller,Rudy Youngblood,Glen Powell,Kiowa Gordon,wind walkers,Russell Friedenberg Rudy Youngblood Glen Powell Kiowa Gordon Action Horror Thriller
William Cottrell,Animation Family Fantasy Musical,Adriana Caselotti,Billy Gilbert,Lucille La Verne,snow white and the seven dwarfs,William Cottrell Adriana Caselotti Billy Gilbert Lucille La Verne Animation Family Fantasy Musical
Lucrecia Martel,Drama,Mía Maestro,Mercedes Morán,María Alche,the holy girl,Lucrecia Martel Mía Maestro Mercedes Morán María Alche Drama
Edward Dmytryk,Western,Brigitte Bardot,Woody Strode,Honor Blackman,shalako,Edward Dmytryk Brigitte Bardot Woody Strode Honor Blackman Western
Zak Penn,Adventure Comedy Horror,Zak Penn,Gabriel Beristain,John Bailey,incident at loch ness,Zak Penn Zak Penn Gabriel Beristain John Bailey Adventure Comedy Horror
Alex Ranarivelo,Drama,Lea Thompson,Christina Moore,Cullen Douglas,the dog lover,Alex Ranarivelo Lea Thompson Christina Moore Cullen Douglas Drama
Jon Knautz,Horror Thriller,Camren Bicondova,Adam DiMarco,Chasty Ballesteros,girl house,Jon Knautz Camren Bicondova Adam DiMarco Chasty Ballesteros Horror Thriller
Mathieu Amalric,Crime Romance Thriller,Mathieu Amalric,Léa Drucker,Laurent Poitrenaux,the blue room,Mathieu Amalric Mathieu Amalric Léa Drucker Laurent Poitrenaux Crime Romance Thriller
David Worth,Horror Thriller,Jessica Szohr,Jonathan Mangum,Angela Jones,house at the end of the drive,David Worth Jessica Szohr Jonathan Mangum Angela Jones Horror Thriller
Leslie H. Martinson,Adventure Comedy Family,Burgess Meredith,Cesar Romero,Burt Ward,batman: the movie,Leslie H. Martinson Burgess Meredith Cesar Romero Burt Ward Adventure Comedy Family
Guy Ritchie,Comedy Crime,Jason Statham,Jason Flemyng,Dexter Fletcher,"lock, stock and two smoking barrels",Guy Ritchie Jason Statham Jason Flemyng Dexter Fletcher Comedy Crime
Robert M. Young,Western,Barry Corbin,Bruce McGill,Ned Beatty,the ballad of gregorio cortez,Robert M. Young Barry Corbin Bruce McGill Ned Beatty Western
unknown,Action Crime Drama Mystery,Karl Malden,Michael Douglas,unknown,the streets of san francisco            ,unknown Karl Malden Michael Douglas unknown Action Crime Drama Mystery
Thomas Vinterberg,Drama,Ulrich Thomsen,Paprika Steen,Trine Dyrholm,the celebration,Thomas Vinterberg Ulrich Thomsen Paprika Steen Trine Dyrholm Drama
Steve Buscemi,Comedy Drama,Steve Buscemi,Debi Mazar,Carol Kane,trees lounge,Steve Buscemi Steve Buscemi Debi Mazar Carol Kane Comedy Drama
Ham Tran,Drama,Long Nguyen,Kieu Chinh,Cat Ly,journey from the fall,Ham Tran Long Nguyen Kieu Chinh Cat Ly Drama
Rich Cowan,Drama,Eric Dane,Karen Allen,Peter Coyote,the basket,Rich Cowan Eric Dane Karen Allen Peter Coyote Drama
Boris Rodriguez,Comedy Horror,Stephen McHattie,Thure Lindhardt,Georgina Reilly,eddie: the sleepwalking cannibal,Boris Rodriguez Stephen McHattie Thure Lindhardt Georgina Reilly Comedy Horror
Harold Becker,Action Crime Drama Thriller,Bruce Willis,Miko Hughes,Carrie Preston,mercury rising,Harold Becker Bruce Willis Miko Hughes Carrie Preston Action Crime Drama Thriller
unknown,Drama Sci-Fi,James Morrison,Tucker Smallwood,Kristen Cloke,space: above and beyond            ,unknown James Morrison Tucker Smallwood Kristen Cloke Drama Sci-Fi
Sadyk Sher-Niyaz,Action Biography Drama History,Elina Abai Kyzy,Aziz Muradillayev,Mirlan Abdulayev,queen of the mountains,Sadyk Sher-Niyaz Elina Abai Kyzy Aziz Muradillayev Mirlan Abdulayev Action Biography Drama History
Paul Donovan,Action Sci-Fi,Maury Chaykin,Lenore Zann,Tim Choate,def-con 4,Paul Donovan Maury Chaykin Lenore Zann Tim Choate Action Sci-Fi
Jonathan Kesselman,Comedy,Judy Greer,Adam Goldberg,Tony Cox,the hebrew hammer,Jonathan Kesselman Judy Greer Adam Goldberg Tony Cox Comedy
Arjun Sablok,Comedy Musical Romance,Abhishek Bachchan,Uday Chopra,Samantha McLeod,neal 'n' nikki,Arjun Sablok Abhishek Bachchan Uday Chopra Samantha McLeod Comedy Musical Romance
Craig Moss,Comedy,Noureen DeWulf,Bryan Callen,Matt Crabtree,the 41-year-old virgin who knocked up sarah marshall and felt superbad about it,Craig Moss Noureen DeWulf Bryan Callen Matt Crabtree Comedy
Tyler Oliver,Horror Romance Thriller,Bella Thorne,Chloe Bridges,Christopher Atkins,forget me not,Tyler Oliver Bella Thorne Chloe Bridges Christopher Atkins Horror Romance Thriller
Alfred Hitchcock,Drama Film-Noir Mystery Thriller,Laurence Olivier,Joan Fontaine,George Sanders,rebecca,Alfred Hitchcock Laurence Olivier Joan Fontaine George Sanders Drama Film-Noir Mystery Thriller
Steve Miner,Horror Mystery Thriller,Betsy Palmer,Adrienne King,Amy Steel,friday the 13th part 2,Steve Miner Betsy Palmer Adrienne King Amy Steel Horror Mystery Thriller
Billy Wilder,Drama Film-Noir,Ray Milland,Jane Wyman,Frank Faylen,the lost weekend,Billy Wilder Ray Milland Jane Wyman Frank Faylen Drama Film-Noir
Douglas Cheek,Horror Sci-Fi,Daniel Stern,John Heard,Sam McMurray,c.h.u.d.,Douglas Cheek Daniel Stern John Heard Sam McMurray Horror Sci-Fi
Youssef Delara,Drama Music,Noel Gugliemi,Jenni Rivera,Jorge Diaz,filly brown,Youssef Delara Noel Gugliemi Jenni Rivera Jorge Diaz Drama Music
Deryck Broom,Animation,Vic Mignogna,Omar Benson Miller,Anupam Kher,the lion of judah,Deryck Broom Vic Mignogna Omar Benson Miller Anupam Kher Animation
Henry Hathaway,Crime Film-Noir Thriller,Joseph Cotten,Jean Peters,Will Wright,niagara,Henry Hathaway Joseph Cotten Jean Peters Will Wright Crime Film-Noir Thriller
John Ford,Drama Family,Roddy McDowall,Walter Pidgeon,Barry Fitzgerald,how green was my valley,John Ford Roddy McDowall Walter Pidgeon Barry Fitzgerald Drama Family
unknown,Drama,Mary Lynn Rajskub,Riley Keough,Paul Sparks,the girlfriend experience            ,unknown Mary Lynn Rajskub Riley Keough Paul Sparks Drama
Spike Lee,Comedy Romance Thriller,Rami Malek,Elvis Nolasco,Felicia Pearson,da sweet blood of jesus,Spike Lee Rami Malek Elvis Nolasco Felicia Pearson Comedy Romance Thriller
Steven Soderbergh,Drama,Peter Gallagher,Laura San Giacomo,Steven Brill,"sex, lies, and videotape",Steven Soderbergh Peter Gallagher Laura San Giacomo Steven Brill Drama
James Wan,Horror Mystery Thriller,Michael Emerson,Monica Potter,Shawnee Smith,saw,James Wan Michael Emerson Monica Potter Shawnee Smith Horror Mystery Thriller
Jay Chandrasekhar,Comedy Crime Mystery,Geoffrey Arend,Daniel von Bargen,Jay Chandrasekhar,super troopers,Jay Chandrasekhar Geoffrey Arend Daniel von Bargen Jay Chandrasekhar Comedy Crime Mystery
Giovanni Zelko,Action Romance Thriller,Zuhair Haddad,Harry Lennix,Ben Youcef,the algerian,Giovanni Zelko Zuhair Haddad Harry Lennix Ben Youcef Action Romance Thriller
Claudia Sainte-Luce,Comedy Drama,Ximena Ayala,Vera Wilson,José Manuel Orozco Angulo,the amazing catfish,Claudia Sainte-Luce Ximena Ayala Vera Wilson José Manuel Orozco Angulo Comedy Drama
Scott Derrickson,Drama Sci-Fi Thriller,Keanu Reeves,Jon Hamm,Juan Riedinger,the day the earth stood still,Scott Derrickson Keanu Reeves Jon Hamm Juan Riedinger Drama Sci-Fi Thriller
Mira Nair,Comedy Drama Romance,Naseeruddin Shah,Randeep Hooda,Lillete Dubey,monsoon wedding,Mira Nair Naseeruddin Shah Randeep Hooda Lillete Dubey Comedy Drama Romance
Kenneth Lonergan,Drama,Matthew Broderick,Rory Culkin,Gaby Hoffmann,you can count on me,Kenneth Lonergan Matthew Broderick Rory Culkin Gaby Hoffmann Drama
Alfred Hitchcock,Comedy Mystery Romance,Jerry Mathers,John Forsythe,Royal Dano,the trouble with harry,Alfred Hitchcock Jerry Mathers John Forsythe Royal Dano Comedy Mystery Romance
Paul McGuigan,Crime Drama Mystery Thriller,Bruce Willis,Morgan Freeman,Dorian Missick,lucky number slevin,Paul McGuigan Bruce Willis Morgan Freeman Dorian Missick Crime Drama Mystery Thriller
Jamie Babbit,Comedy Drama,Natasha Lyonne,Clea DuVall,Eddie Cibrian,but i'm a cheerleader,Jamie Babbit Natasha Lyonne Clea DuVall Eddie Cibrian Comedy Drama
David Boyd,Drama Sport,Vivica A. Fox,Drew Waters,Scott Elrod,home run,David Boyd Vivica A. Fox Drew Waters Scott Elrod Drama Sport
Quentin Tarantino,Crime Drama Thriller,Quentin Tarantino,Steve Buscemi,Chris Penn,reservoir dogs,Quentin Tarantino Quentin Tarantino Steve Buscemi Chris Penn Crime Drama Thriller
Walter Lang,Drama Family Fantasy,Spring Byington,Nigel Bruce,Gale Sondergaard,the blue bird,Walter Lang Spring Byington Nigel Bruce Gale Sondergaard Drama Family Fantasy
Sergio Leone,Western,Clint Eastwood,Luigi Pistilli,Enzo Petito,"the good, the bad and the ugly",Sergio Leone Clint Eastwood Luigi Pistilli Enzo Petito Western
Anna Muylaert,Comedy Drama,Alex Huszar,Regina Casé,Luis Miranda,the second mother,Anna Muylaert Alex Huszar Regina Casé Luis Miranda Comedy Drama
Steve Taylor,Comedy Drama,Jason Marsden,Marshall Allman,Eric Lange,blue like jazz,Steve Taylor Jason Marsden Marshall Allman Eric Lange Comedy Drama
Kurt Voss,Comedy Music,Lemmy,Coyote Shivers,Zoë Poledouris,down and out with the dolls,Kurt Voss Lemmy Coyote Shivers Zoë Poledouris Comedy Music
Léa Pool,Documentary,unknown,unknown,unknown,"pink ribbons, inc.",Léa Pool unknown unknown unknown Documentary
James David Pasternak,Comedy Documentary,Robin Williams,Sarah Silverman,Jonathan Winters,certifiably jonathan,James David Pasternak Robin Williams Sarah Silverman Jonathan Winters Comedy Documentary
Laurent Bouhnik,Drama,Déborah Révy,Johnny Amaro,Yassine Azzouz,q,Laurent Bouhnik Déborah Révy Johnny Amaro Yassine Azzouz Drama
